Subj,Age Group,Condition,Pred,Match,Start Time,Onset of 1st syllable in character name ,Time to respond ,NameLength,Start time - time to respond,Onset of 1st syllable - time to respond,RT,Response?
1,3,1,Pred,Same,1470.660606,5285.911762,7767.342525,891,6296.68192,2481.430764,1590.430764,Yes
1,3,1,Pred,Same,1485.648524,5505.429254,7590.795334,1269,6105.14681,2085.366081,816.3660807,Yes
1,3,1,Pred,Same,1514.325676,5391.138342,6481.520801,447,4967.195125,1090.382459,643.382459,Yes
1,3,1,Pred,Same,1450.777176,5415.266888,6824.625026,775,5373.84785,1409.358138,634.3581379,Yes
1,3,1,Pred,Same,1475.814226,5433.436084,6694.810824,707,5218.996598,1261.374739,554.3747392,Yes
1,3,1,Pred,Same,1463.405359,5513.550017,6402.863507,399,4939.458148,889.3134901,490.3134901,No
1,3,1,Pred,Same,1450.811318,5323.056041,6552.888867,863,5102.07755,1229.832827,366.8328267,Yes
1,3,1,Pred,Same,1472.087546,5727.933943,6788.567195,742,5316.479649,1060.633252,318.6332522,Yes
1,3,1,Pred,Same,1626.029064,5255.616004,6330.580777,824,4704.551712,1074.964773,250.964773,Yes
1,3,1,Pred,Same,1625.08944,5343.18793,6468.44022,948,4843.35078,1125.25229,177.25229,Yes
1,3,1,Pred,Same,1623.170164,5419.013962,6233.332326,681,4610.162162,814.3183632,133.3183632,Yes
1,3,1,Pred,Same,1450.484626,5257.867093,6096.708207,715,4646.22358,838.8411141,123.8411141,Yes
1,3,1,Pred,Same,1444.135822,5402.524101,6588.445867,1153,5144.310045,1185.921766,32.92176612,Yes
1,3,1,Pred,Same,1641.774549,5382.48737,6740.930477,1329,5099.155928,1358.443107,29.44310707,Yes
1,3,1,Pred,Same,1627.434942,5299.382875,5881.99122,555,4254.556278,582.6083449,27.60834494,Yes
1,3,1,Pred,Same,1639.806228,5184.957724,5735.323901,539,4095.517673,550.3661764,11.36617643,Yes
1,3,1,Pred,Same,1478.070408,5501.201053,6428.864673,959,4950.794265,927.6636197,-31.33638035,Yes
2,3,1,Pred,Same,1547.578194,5608.601952,8328.628295,399,6781.050101,2720.026343,,y
2,3,1,Pred,Same,1451.281382,5410.706099,7750.251212,775,6298.96983,2339.545113,1564.545113,y
2,3,1,Pred,Same,1608.509742,5419.278146,7282.631054,681,5674.121312,1863.352907,1182.352907,n
